source,status,is_vip,no_of_employees,city,score,qualification_status,explain,name
,,1,,Bắc Ninh,98,Qualified,Lead có is_vip là 1 và tỷ lệ Qualified cao hơn 8% so với Junk và Unqualified trong cột city,
,,1,,Hà Nội,80,Qualified,"Dựa vào combo_feature_stats, có 1 combo nghiêng rõ rệt về Qualified với số lượng Qualified là 66, nhiều hơn rõ rệt so với Junk và Unqualified. Vì is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, nên Qualified là ứng viên chính. Điểm số 80 được chọn do có sự ủng hộ rõ rệt từ combo quan trọng chứa is_vip và city.",
,,1,,Bắc Ninh,80,Qualified,"Dựa trên combo_feature_stats, combo có features là_vip và city có giá trị là 1 và Bắc Ninh có tổng số bản ghi là 96, trong đó có 61 bản ghi được đánh dấu là Qualified. Điều này cho thấy rằng combo này nghiêng rõ rệt về Qualified. Ngoài ra, vì is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, nên có thể xem Qualified là ứng viên chính. Do đó, nhãn cuối cùng được chọn là Qualified với điểm 80, dựa trên sự ủng hộ rõ rệt của combo quan trọng.",
Website,Open,1,51-200,Ho Chi Minh City,85,Qualified,"Dựa vào các combo trong combo_feature_stats, chúng ta thấy rằng nhiều combo quan trọng như ['source', 'is_vip'], ['is_vip', 'no_of_employees'], ['status', 'is_vip', 'no_of_employees'] nghiêng về nhãn Qualified. Đặc biệt, combo ['source', 'is_vip'] với 150 bản ghi Qualified và combo ['is_vip', 'no_of_employees'] với 253 bản ghi Qualified cho thấy sự ủng hộ mạnh mẽ cho nhãn Qualified. Ngoài ra, với is_vip = 1, chúng ta có thể yên tâm chọn nhãn Qualified khi không có nhiều combo mạnh nghiêng về Junk. Do đó, điểm số được chọn là 85, phản ánh mức độ chắc chắn cao cho nhãn Qualified.",Lead A - Công ty phần mềm
Facebook Ads,Replied,0,201-500,Hanoi,55,Unqualified,"Dựa vào các combo trong combo_feature_stats, không có combo nào ủng hộ rõ rệt cho Qualified, đồng thời không có nhiều combo nghiêng mạnh về Junk. Combo [""status"", ""is_vip""] với giá trị [""Replied"", 0] cho thấy số lượng Unqualified (740) lớn hơn số lượng Qualified (594), trong khi combo [""status"", ""no_of_employees""] với giá trị [""Replied"", ""201-500""] và combo [""is_vip"", ""no_of_employees""] với giá trị [0, ""201-500""] cũng không cho thấy sự chênh lệch rõ ràng giữa Unqualified và Qualified. Do đó, chọn nhãn Unqualified với điểm 55, phản ánh sự không chắc chắn và tín hiệu yếu trong dữ liệu.",Lead B - Chuỗi bán lẻ
Referral,Open,0,1-10,Da Nang,55,Unqualified,"Dựa trên dữ liệu combo_feature_stats, không có combo nào nghiêng rõ rệt về Qualified. Hầu hết các combo quan trọng chứa is_vip, no_of_employees đều không cho thấy số lượng Qualified lớn hơn rõ rệt hai nhãn còn lại. Đặc biệt, combo {'features': ['source', 'status', 'is_vip', 'no_of_employees'], 'values': ['Referral', 'Open', 0, '1-10']} có tổng số lượng bản ghi là 138 và số lượng Unqualified là 54, lớn hơn số lượng Qualified là 35. Do đó, nhãn Unqualified được chọn với điểm 55, phản ánh sự trung tính của tín hiệu từ các combo.",Lead C - Startup nhỏ
Email Campaign,Converted,1,1000,Ho Chi Minh City,80,Qualified,"Dựa trên combo_feature_stats, có 1 combo nghiêng về Qualified với số lượng Qualified (250) lớn hơn rõ rệt so với Junk (73) và Unqualified (62). Vì is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, nên Qualified là ứng viên chính. Điểm số 80 được chọn do có nhiều combo ủng hộ rõ rệt cho Qualified.",Lead D - Tập đoàn sản xuất
Event,Open,0,11-50,Can Tho,60,Unqualified,"Dựa trên dữ liệu combo_feature_stats, không có nhiều combo mạnh nghiêng về Qualified và cũng không có nhóm combo nào nghiêng mạnh về Junk. Phần lớn combo cho thấy số lượng Unqualified lớn hơn hoặc tương đương với Qualified, đặc biệt là các combo chứa các trường quan trọng như is_vip và no_of_employees. Do đó, chọn nhãn Unqualified với điểm 60, phản ánh mức độ trung tính và thiếu thông tin rõ ràng nghiêng về Qualified hoặc Junk.",Lead E - Công ty dịch vụ
Website,Open,1,51-200,Ho Chi Minh City,85,Qualified,"Dựa vào các combo trong combo_feature_stats, chúng ta thấy rằng nhiều combo quan trọng như ['source', 'is_vip'], ['is_vip', 'no_of_employees'], ['status', 'is_vip', 'no_of_employees'] nghiêng về nhãn Qualified. Đặc biệt, combo ['source', 'is_vip'] với 150 bản ghi Qualified và combo ['is_vip', 'no_of_employees'] với 253 bản ghi Qualified cho thấy sự ủng hộ mạnh mẽ cho nhãn Qualified. Ngoài ra, với is_vip = 1, chúng ta có thể yên tâm chọn nhãn Qualified khi không có nhiều combo mạnh nghiêng về Junk. Do đó, điểm số được chọn là 85, phản ánh mức độ chắc chắn cao cho nhãn Qualified.",Lead A - Công ty phần mềm
Facebook Ads,Replied,0,201-500,Hanoi,55,Unqualified,"Dựa vào các combo trong combo_feature_stats, không có combo nào ủng hộ rõ rệt cho Qualified, đồng thời không có nhiều combo nghiêng mạnh về Junk. Combo [""status"", ""is_vip""] với giá trị [""Replied"", 0] cho thấy số lượng Unqualified (740) lớn hơn số lượng Qualified (594), trong khi combo [""status"", ""no_of_employees""] với giá trị [""Replied"", ""201-500""] và combo [""is_vip"", ""no_of_employees""] với giá trị [0, ""201-500""] cũng không cho thấy sự chênh lệch rõ ràng giữa Unqualified và Qualified. Do đó, chọn nhãn Unqualified với điểm 55, phản ánh sự không chắc chắn và tín hiệu yếu trong dữ liệu.",Lead B - Chuỗi bán lẻ
Referral,Open,0,1-10,Da Nang,55,Unqualified,"Dựa trên dữ liệu combo_feature_stats, không có combo nào nghiêng rõ rệt về Qualified. Hầu hết các combo quan trọng chứa is_vip, no_of_employees đều không cho thấy số lượng Qualified lớn hơn rõ rệt hai nhãn còn lại. Đặc biệt, combo {'features': ['source', 'status', 'is_vip', 'no_of_employees'], 'values': ['Referral', 'Open', 0, '1-10']} có tổng số lượng bản ghi là 138 và số lượng Unqualified là 54, lớn hơn số lượng Qualified là 35. Do đó, nhãn Unqualified được chọn với điểm 55, phản ánh sự trung tính của tín hiệu từ các combo.",Lead C - Startup nhỏ
Email Campaign,Converted,1,1000,Ho Chi Minh City,80,Qualified,"Dựa trên combo_feature_stats, có 1 combo nghiêng về Qualified với số lượng Qualified (250) lớn hơn rõ rệt so với Junk (73) và Unqualified (62). Vì is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, nên Qualified là ứng viên chính. Điểm số 80 được chọn do có nhiều combo ủng hộ rõ rệt cho Qualified.",Lead D - Tập đoàn sản xuất
Event,Open,0,11-50,Can Tho,60,Unqualified,"Dựa trên dữ liệu combo_feature_stats, không có nhiều combo mạnh nghiêng về Qualified và cũng không có nhóm combo nào nghiêng mạnh về Junk. Phần lớn combo cho thấy số lượng Unqualified lớn hơn hoặc tương đương với Qualified, đặc biệt là các combo chứa các trường quan trọng như is_vip và no_of_employees. Do đó, chọn nhãn Unqualified với điểm 60, phản ánh mức độ trung tính và thiếu thông tin rõ ràng nghiêng về Qualified hoặc Junk.",Lead E - Công ty dịch vụ
,,0,,,50,Unqualified,"Không có thông tin đủ để xác định lead là Qualified hoặc Junk, do đó chọn Unqualified với điểm trung bình vì không có tín hiệu rõ ràng nào về cả 3 nhãn.",
